transaction_id,customer_name,start_date,end_date,product_family,region,account_owner,bookings,term_days,arr
8124,"Hableton, Mauston and Upton",2019-10-24,2019-10-24,Elite Plus,Latin America,Angelo Payne,43,0,0.0
686,"Goodwin, O'Reilly and Buckridge",2022-05-30,2023-05-29,Elite Plus,North America,Judy Jacobs,287809,364,288599.68
1782,"Heathcote, Oberbrunner and Considine",2020-11-12,2021-11-11,Elite Plus,North America,Grant Cortez,275262,364,276018.21
1787,"Heathcote, Oberbrunner and Considine",2021-07-20,2022-07-19,Elite Plus,North America,Grant Cortez,236508,364,237157.75
7867,Beier-Bins,2019-09-05,2020-09-04,Classic,North America,Grant Cortez,195000,365,195000.0
6654,Morissette - Towne,2021-07-14,2022-07-13,Classic,Europe,Angelo Payne,179898,364,180392.23
7353,"Turcotte, Kuhic and Keeling",2018-11-23,2019-11-22,Classic,North America,John Sacker,179764,364,180257.86
5354,"Collins, Fahey and Mackerrel",2021-10-11,2023-10-10,Classic,North America,Karl Long,325686,729,163066.38
2723,"Gillespie, Ankunding and Schuster",2021-08-23,2022-08-22,Classic,North America,Micheal Williams,118439,364,118764.38
1411,Cronin - Lehner,2023-01-07,2024-01-06,Elite Plus,North America,Karl Long,114461,364,114775.45
3260,Reynolds - Goodwin,2020-05-13,2021-05-12,Elite Plus,North America,Cecelia Burgess,109240,364,109540.11
4932,Lesch - Johnston,2020-05-20,2021-05-19,Elite Plus,North America,Tomas Glover,108631,364,108929.44
7365,Hudson Group,2018-12-23,2019-06-22,Classic,North America,Patty Ingram,53428,181,107741.55
7270,Herzog-Bode,2018-09-13,2019-09-12,Classic,North America,Sonja Griffin,95028,364,95289.07
6545,"Wisoky, Kuhic and Herman",2021-12-10,2022-12-09,Elite Plus,North America,Patty Ingram,92865,364,93120.12
6653,Morissette - Towne,2020-10-14,2021-10-13,Classic,Europe,Angelo Payne,88096,364,88338.02
2234,D'Amore Group,2019-12-08,2020-12-04,Classic,North America,Karl Long,86564,362,87281.38
6838,Cremin-Hilpert,2019-09-23,2020-09-22,Classic,North America,Alton Hunt,86896,365,86896.0
6602,Ondricka - Casper,2021-10-11,2022-01-13,Elite Plus,North America,Sonja Griffin,22243,94,86369.1
684,"Goodwin, O'Reilly and Buckridge",2021-05-05,2022-05-04,Elite Plus,North America,Judy Jacobs,78795,364,79011.47
3264,Reynolds - Goodwin,2021-08-04,2022-08-03,Elite Plus,North America,Cecelia Burgess,78640,364,78856.04
688,"Goodwin, O'Reilly and Buckridge",2023-04-02,2024-04-01,Elite Plus,North America,Judy Jacobs,75725,365,75725.0
6543,"Wisoky, Kuhic and Herman",2021-03-30,2022-03-29,Elite Plus,North America,Patty Ingram,73110,364,73310.85
7565,Treutel-Muller,2018-05-31,2019-05-30,Classic,North America,Phil Baker,71679,364,71875.92
3864,Douglas - Schaden,2020-06-15,2021-06-14,Elite Plus,North America,Cecelia Burgess,69955,364,70147.18
6932,Bernier Ltd,2019-06-20,2020-06-19,Classic,North America,Frankie Fletcher,69825,365,69825.0
2231,D'Amore Group,2020-03-31,2021-03-30,Classic,North America,Karl Long,68876,364,69065.22
1202,Ullrich - Greenfelder,2021-03-24,2021-09-21,Elite Plus,North America,Marsha Aguilar,34104,181,68773.26
4146,Reichert - Hirthe,2022-02-08,2023-02-07,Elite Plus,North America,Alice Cole,68348,364,68535.77
1205,Ullrich - Greenfelder,2021-04-24,2021-10-23,Elite Plus,North America,Marsha Aguilar,32604,182,65387.14
1598,"Canten, Agarwaliamson and Corkery",2020-12-31,2021-12-30,Elite Plus,North America,Lonnie May,65015,364,65193.61
5832,"Hilll, Friesen and O'Connell",2023-01-04,2024-01-03,Elite Plus,North America,Marsha Aguilar,62998,364,63171.07
683,"Goodwin, O'Reilly and Buckridge",2021-05-07,2022-05-06,Elite Plus,North America,Judy Jacobs,62097,364,62267.6
174,Frami Group,2020-09-22,2021-09-21,Elite Plus,North America,John Sacker,61008,364,61175.6
7315,Harvey PLC,2018-11-25,2019-11-24,Classic,North America,Christopher Little,57875,364,58034.0
122,Benjamin Batterbond,2021-03-01,2021-03-31,Classic,North America,Ramon Garcia,4642,30,56477.67
18,Towne - Kub,2021-01-06,2022-01-05,Classic,Europe,Alton Hunt,55488,364,55640.44
5406,"Collier, Ortiz and Marquardt",2021-09-23,2024-09-23,Classic,North America,Ramon Garcia,166503,1096,55450.36
5171,"Cronin, Frost and Ratke",2021-01-15,2023-01-14,Elite Plus,North America,Judy Jacobs,110169,729,55160.06
135,Benjamin Batterbond,2021-08-31,2022-08-31,Classic,North America,Ramon Garcia,54285,365,54285.0
4150,Reichert - Hirthe,2021-11-30,2022-11-29,Elite Plus,North America,Alice Cole,53730,364,53877.61
3868,Douglas - Schaden,2021-05-04,2021-12-15,Elite Plus,North America,Cecelia Burgess,31868,225,51696.98
1489,"Cummings, Pollich and Hoppe",2021-10-18,2022-10-17,Elite Plus,North America,Ross Hines,50495,364,50633.72
2990,Schaden Group,2021-05-18,2022-05-17,Classic,Europe,Alice Cole,47980,364,48111.81
4882,Johns LLC,2020-09-14,2021-09-13,Elite Plus,North America,Lonnie May,47206,364,47335.69
7080,"Wintheiser, Howe and Wisoky",2018-09-06,2019-09-05,Classic,North America,John Sacker,44864,364,44987.25
2974,Schaden Group,2021-11-04,2022-11-03,Elite Plus,Europe,Alice Cole,43253,364,43371.83
1786,"Heathcote, Oberbrunner and Considine",2020-11-09,2021-11-08,Elite Plus,North America,Grant Cortez,41939,364,42054.22
5819,"Hilll, Friesen and O'Connell",2021-01-10,2022-01-09,Elite Plus,North America,Marsha Aguilar,41716,364,41830.6
6253,"Schoen, Hudson and SchamBundelr",2021-08-09,2022-08-09,Classic,North America,Tomas Glover,40592,365,40592.0
6541,Marquardt - McClure,2021-07-09,2022-07-08,Classic,North America,Angelo Payne,40319,364,40429.77
6589,Ondricka - Casper,2020-11-15,2021-11-14,Elite Plus,North America,Sonja Griffin,39491,364,39599.49
